,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],_SI-SDR [dB],_SI-SIR [dB],Success
91,auxiva,3,10,3,0.634,1,10,1959836417,50,1,0.187321867,-6.433773567,-3.241866659,-2.870861821,0.201805365,0
92,ilrma-t-IP,3,10,3,0.634,1,10,1959836417,0,0,0,-3.562911746,-3.443672024,0,0,0
93,ilrma-t-IP,3,10,3,0.634,1,10,1959836417,50,1,2.657724545,-0.017088005,2.942601977,3.545823742,6.386274001,0.333333333
94,ilrma-t-iss-seq,3,10,3,0.634,1,10,1959836417,0,0,0,-3.562911746,-3.443672024,0,0,0
95,ilrma-t-iss-seq,3,10,3,0.634,1,10,1959836417,50,1,1.475721876,0.007968375,3.002631203,3.570880121,6.446303227,0.333333333
96,ilrma-t-iss-joint,3,10,3,0.634,1,10,1959836417,0,0,0,-3.562911746,-3.443672024,0,0,0
97,ilrma-t-iss-joint,3,10,3,0.634,1,10,1959836417,50,1,2.327681343,0.007968375,3.002631203,3.570880121,6.446303227,0.333333333
98,ilrma,3,10,3,0.634,1,10,1959836417,0,0,0,-3.562911746,-3.443672024,0,0,0
99,ilrma,3,10,3,0.634,1,10,1959836417,50,1,0.405669048,-0.084634481,2.876966433,3.478277265,6.320638458,0.333333333
100,auxiva,3,10,3,0.634,1,10,410361373,0,0,0,-3.605900679,-3.486637606,0,0,0
101,auxiva,3,10,3,0.634,1,10,410361373,50,1,0.19774226,0.933579143,3.750517702,4.539479823,7.237155308,0.333333333
102,ilrma-t-IP,3,10,3,0.634,1,10,410361373,0,0,0,-3.605900679,-3.486637606,0,0,0
103,ilrma-t-IP,3,10,3,0.634,1,10,410361373,50,1,2.824074803,0.944668508,3.750717563,4.550569187,7.237355168,0.333333333
104,ilrma-t-iss-seq,3,10,3,0.634,1,10,410361373,0,0,0,-3.605900679,-3.486637606,0,0,0
105,ilrma-t-iss-seq,3,10,3,0.634,1,10,410361373,50,1,1.447034744,0.944831643,3.752712953,4.550732322,7.239350558,0.333333333
106,ilrma-t-iss-joint,3,10,3,0.634,1,10,410361373,0,0,0,-3.605900679,-3.486637606,0,0,0
107,ilrma-t-iss-joint,3,10,3,0.634,1,10,410361373,50,1,2.309018817,0.944831643,3.752712953,4.550732322,7.239350558,0.333333333
108,ilrma,3,10,3,0.634,1,10,410361373,0,0,0,-3.605900679,-3.486637606,0,0,0
109,ilrma,3,10,3,0.634,1,10,410361373,50,1,0.370458287,0.726595204,3.886457937,4.332495883,7.373095542,0.333333333
110,auxiva,3,10,3,0.634,1,10,1712592594,0,0,0,-3.636055527,-3.551570861,0,0,0
111,auxiva,3,10,3,0.634,1,10,1712592594,50,1,0.18638742,-0.476759145,2.538197565,3.159296382,6.089768425,0.333333333
112,ilrma-t-IP,3,10,3,0.634,1,10,1712592594,0,0,0,-3.636055527,-3.551570861,0,0,0
113,ilrma-t-IP,3,10,3,0.634,1,10,1712592594,50,1,2.707433029,-0.160132283,2.61371572,3.475923244,6.16528658,0.333333333
114,ilrma-t-iss-seq,3,10,3,0.634,1,10,1712592594,0,0,0,-3.636055527,-3.551570861,0,0,0
115,ilrma-t-iss-seq,3,10,3,0.634,1,10,1712592594,50,1,1.41577307,0.773263189,4.048735354,4.409318716,7.600306215,0.333333333
116,ilrma-t-iss-joint,3,10,3,0.634,1,10,1712592594,0,0,0,-3.636055527,-3.551570861,0,0,0
117,ilrma-t-iss-joint,3,10,3,0.634,1,10,1712592594,50,1,2.234759699,0.773263189,4.048735354,4.409318716,7.600306215,0.333333333
118,ilrma,3,10,3,0.634,1,10,1712592594,0,0,0,-3.636055527,-3.551570861,0,0,0
119,ilrma,3,10,3,0.634,1,10,1712592594,50,1,0.375831434,0.647709356,3.746923874,4.283764883,7.298494734,0.333333333
120,auxiva,3,10,3,0.634,1,10,290876773,0,0,0,-3.63912035,-3.48704465,0,0,0
121,auxiva,3,10,3,0.634,1,10,290876773,50,1,0.187153458,0.416990246,3.604283173,4.056110596,7.091327824,0.333333333
122,ilrma-t-IP,3,10,3,0.634,1,10,290876773,0,0,0,-3.63912035,-3.48704465,0,0,0
123,ilrma-t-IP,3,10,3,0.634,1,10,290876773,50,1,2.61519644,0.400819288,3.939741263,4.039939638,7.426785913,0.333333333
124,ilrma-t-iss-seq,3,10,3,0.634,1,10,290876773,0,0,0,-3.63912035,-3.48704465,0,0,0
125,ilrma-t-iss-seq,3,10,3,0.634,1,10,290876773,50,1,1.442730727,0.392072806,3.957598041,4.031193156,7.444642691,0.333333333
126,ilrma-t-iss-joint,3,10,3,0.634,1,10,290876773,0,0,0,-3.63912035,-3.48704465,0,0,0
127,ilrma-t-iss-joint,3,10,3,0.634,1,10,290876773,50,1,2.248904638,0.392072806,3.957598041,4.031193156,7.444642691,0.333333333
128,ilrma,3,10,3,0.634,1,10,290876773,0,0,0,-3.63912035,-3.48704465,0,0,0
129,ilrma,3,10,3,0.634,1,10,290876773,50,1,0.368783416,-0.574315137,4.506558825,3.064805213,7.993603475,0.333333333
130,auxiva,3,10,3,0.634,1,10,1069045865,0,0,0,-3.521761879,-3.395368431,0,0,0
131,auxiva,3,10,3,0.634,1,10,1069045865,50,1,0.198792227,0.207085375,3.327842467,3.728847255,6.723210898,0.333333333
132,ilrma-t-IP,3,10,3,0.634,1,10,1069045865,0,0,0,-3.521761879,-3.395368431,0,0,0
133,ilrma-t-IP,3,10,3,0.634,1,10,1069045865,50,1,2.598741563,-6.018512418,5.769564536,-2.496750539,9.164932967,0.666666667
134,ilrma-t-iss-seq,3,10,3,0.634,1,10,1069045865,0,0,0,-3.521761879,-3.395368431,0,0,0
135,ilrma-t-iss-seq,3,10,3,0.634,1,10,1069045865,50,1,1.430566038,-5.963236082,5.82835459,-2.441474203,9.223723022,0.666666667
136,ilrma-t-iss-joint,3,10,3,0.634,1,10,1069045865,0,0,0,-3.521761879,-3.395368431,0,0,0
137,ilrma-t-iss-joint,3,10,3,0.634,1,10,1069045865,50,1,2.303893285,-5.963236082,5.82835459,-2.441474203,9.223723022,0.666666667
138,ilrma,3,10,3,0.634,1,10,1069045865,0,0,0,-3.521761879,-3.395368431,0,0,0
139,ilrma,3,10,3,0.634,1,10,1069045865,50,1,0.369874771,-6.162651616,6.777414001,-2.640889736,10.17278243,0.666666667
140,auxiva,3,10,3,0.634,1,0,1282922662,0,0,0,-6.94771602,-6.803622358,0,0,0
141,auxiva,3,10,3,0.634,1,0,1282922662,50,1,0.186947388,-5.325263961,-2.545614178,1.622452059,4.25800818,0.333333333
142,ilrma-t-IP,3,10,3,0.634,1,0,1282922662,0,0,0,-6.94771602,-6.803622358,0,0,0
143,ilrma-t-IP,3,10,3,0.634,1,0,1282922662,50,1,2.728437675,-12.35090269,-1.255981515,-5.403186671,5.547640843,0.333333333
144,ilrma-t-iss-seq,3,10,3,0.634,1,0,1282922662,0,0,0,-6.94771602,-6.803622358,0,0,0
145,ilrma-t-iss-seq,3,10,3,0.634,1,0,1282922662,50,1,1.479617795,-12.74214437,-1.735793452,-5.794428352,5.067828907,0.333333333
146,ilrma-t-iss-joint,3,10,3,0.634,1,0,1282922662,0,0,0,-6.94771602,-6.803622358,0,0,0
147,ilrma-t-iss-joint,3,10,3,0.634,1,0,1282922662,50,1,2.356692516,-12.74214437,-1.735793452,-5.794428352,5.067828907,0.333333333
148,ilrma,3,10,3,0.634,1,0,1282922662,0,0,0,-6.94771602,-6.803622358,0,0,0
149,ilrma,3,10,3,0.634,1,0,1282922662,50,1,0.372816641,-12.8776336,-1.793744681,-5.929917581,5.009877678,0.333333333
150,auxiva,3,10,3,0.634,1,0,1675701733,0,0,0,-6.884742733,-6.785010626,0,0,0
151,auxiva,3,10,3,0.634,1,0,1675701733,50,1,0.186559045,-5.461658513,-2.77869439,1.42308422,4.006316236,0
152,ilrma-t-IP,3,10,3,0.634,1,0,1675701733,0,0,0,-6.884742733,-6.785010626,0,0,0
153,ilrma-t-IP,3,10,3,0.634,1,0,1675701733,50,1,2.610932765,-11.89771481,-1.697924308,-5.012972077,5.087086317,0.333333333
154,ilrma-t-iss-seq,3,10,3,0.634,1,0,1675701733,0,0,0,-6.884742733,-6.785010626,0,0,0
155,ilrma-t-iss-seq,3,10,3,0.634,1,0,1675701733,50,1,1.437032219,-4.703221729,-2.274844518,2.181521004,4.510166108,0
156,ilrma-t-iss-joint,3,10,3,0.634,1,0,1675701733,0,0,0,-6.884742733,-6.785010626,0,0,0
157,ilrma-t-iss-joint,3,10,3,0.634,1,0,1675701733,50,1,2.249036717,-4.703221729,-2.274844518,2.181521004,4.510166108,0
158,ilrma,3,10,3,0.634,1,0,1675701733,0,0,0,-6.884742733,-6.785010626,0,0,0
159,ilrma,3,10,3,0.634,1,0,1675701733,50,1,0.370515981,-13.65607828,-3.456353112,-6.771335547,3.328657513,0.333333333
160,auxiva,3,10,3,0.634,1,0,1685103474,0,0,0,-6.86059292,-6.702786701,0,0,0
161,auxiva,3,10,3,0.634,1,0,1685103474,50,1,0.186252403,-12.38506821,-3.341232543,-5.524475294,3.361554158,0
162,ilrma-t-IP,3,10,3,0.634,1,0,1685103474,0,0,0,-6.86059292,-6.702786701,0,0,0
163,ilrma-t-IP,3,10,3,0.634,1,0,1685103474,50,1,2.760488729,-11.8538606,-1.489211791,-4.993267683,5.213574909,0.333333333
164,ilrma-t-iss-seq,3,10,3,0.634,1,0,1685103474,0,0,0,-6.86059292,-6.702786701,0,0,0
165,ilrma-t-iss-seq,3,10,3,0.634,1,0,1685103474,50,1,1.434511427,-12.85567306,-2.393340125,-5.99508014,4.309446576,0
166,ilrma-t-iss-joint,3,10,3,0.634,1,0,1685103474,0,0,0,-6.86059292,-6.702786701,0,0,0
167,ilrma-t-iss-joint,3,10,3,0.634,1,0,1685103474,50,1,2.285037187,-12.85567306,-2.393340125,-5.99508014,4.309446576,0
168,ilrma,3,10,3,0.634,1,0,1685103474,0,0,0,-6.86059292,-6.702786701,0,0,0
169,ilrma,3,10,3,0.634,1,0,1685103474,50,1,0.370663,-12.77355534,-2.844290012,-5.912962422,3.858496688,0.333333333
170,auxiva,3,10,3,0.634,1,0,115061003,0,0,0,-6.945377301,-6.823711778,0,0,0
171,auxiva,3,10,3,0.634,1,0,115061003,50,1,0.187354611,-4.820516065,-2.044433942,2.124861236,4.779277836,0.333333333
172,ilrma-t-IP,3,10,3,0.634,1,0,115061003,0,0,0,-6.945377301,-6.823711778,0,0,0
173,ilrma-t-IP,3,10,3,0.634,1,0,115061003,50,1,2.716416946,-4.558290321,-1.942916594,2.387086981,4.880795184,0.333333333
174,ilrma-t-iss-seq,3,10,3,0.634,1,0,115061003,0,0,0,-6.945377301,-6.823711778,0,0,0
175,ilrma-t-iss-seq,3,10,3,0.634,1,0,115061003,50,1,1.44008026,-4.743528997,-1.976528586,2.201848305,4.847183192,0.333333333
176,ilrma-t-iss-joint,3,10,3,0.634,1,0,115061003,0,0,0,-6.945377301,-6.823711778,0,0,0
177,ilrma-t-iss-joint,3,10,3,0.634,1,0,115061003,50,1,2.274854136,-4.743528997,-1.976528586,2.201848305,4.847183192,0.333333333
178,ilrma,3,10,3,0.634,1,0,115061003,0,0,0,-6.945377301,-6.823711778,0,0,0
179,ilrma,3,10,3,0.634,1,0,115061003,50,1,0.371227768,-6.973103876,-3.14961293,-0.027726575,3.674098848,0.333333333
180,auxiva,3,10,3,0.634,1,0,1063926992,0,0,0,-7.081305976,-6.937814076,0,0,0
181,auxiva,3,10,3,0.634,1,0,1063926992,50,1,0.185446186,-6.409154449,-3.725271293,0.672151527,3.212542784,0
182,ilrma-t-IP,3,10,3,0.634,1,0,1063926992,0,0,0,-7.081305976,-6.937814076,0,0,0
183,ilrma-t-IP,3,10,3,0.634,1,0,1063926992,50,1,2.671844492,-12.95198218,-2.883723231,-5.870676202,4.054090845,0.333333333
184,ilrma-t-iss-seq,3,10,3,0.634,1,0,1063926992,0,0,0,-7.081305976,-6.937814076,0,0,0
185,ilrma-t-iss-seq,3,10,3,0.634,1,0,1063926992,50,1,1.443321353,-13.09673554,-3.27262974,-6.015429562,3.665184337,0.333333333
186,ilrma-t-iss-joint,3,10,3,0.634,1,0,1063926992,0,0,0,-7.081305976,-6.937814076,0,0,0
187,ilrma-t-iss-joint,3,10,3,0.634,1,0,1063926992,50,1,2.271745069,-13.09673554,-3.27262974,-6.015429562,3.665184337,0.333333333
188,ilrma,3,10,3,0.634,1,0,1063926992,0,0,0,-7.081305976,-6.937814076,0,0,0
189,ilrma,3,10,3,0.634,1,0,1063926992,50,1,0.370358058,-11.88186465,-1.746323193,-4.800558674,5.191490883,0.333333333
190,auxiva,3,10,3,0.634,1,10,115061003,0,0,0,-3.622048178,-3.51317746,0,0,0
191,auxiva,3,10,3,0.634,1,10,115061003,50,1,0.185344012,0.316516219,3.374823011,3.938564397,6.888000471,0.333333333
192,ilrma-t-IP,3,10,3,0.634,1,10,115061003,0,0,0,-3.622048178,-3.51317746,0,0,0
193,ilrma-t-IP,3,10,3,0.634,1,10,115061003,50,1,2.712270225,0.509476404,3.450241967,4.131524582,6.963419427,0.333333333
194,ilrma-t-iss-seq,3,10,3,0.634,1,10,115061003,0,0,0,-3.622048178,-3.51317746,0,0,0
195,ilrma-t-iss-seq,3,10,3,0.634,1,10,115061003,50,1,1.443920446,0.535731151,3.520745421,4.157779329,7.033922881,0.333333333
196,ilrma-t-iss-joint,3,10,3,0.634,1,10,115061003,0,0,0,-3.622048178,-3.51317746,0,0,0
197,ilrma-t-iss-joint,3,10,3,0.634,1,10,115061003,50,1,2.300445306,0.535731151,3.520745421,4.157779329,7.033922881,0.333333333
198,ilrma,3,10,3,0.634,1,10,115061003,0,0,0,-3.622048178,-3.51317746,0,0,0
199,ilrma,3,10,3,0.634,1,10,115061003,50,1,0.370526952,0.368601078,3.704923679,3.990649256,7.218101138,0.333333333
200,auxiva,3,10,3,0.634,1,0,1981297353,0,0,0,-6.981151171,-6.869903304,0,0,0
201,auxiva,3,10,3,0.634,1,0,1981297353,50,1,0.1865873,-12.59493802,-2.243654495,-5.613786851,4.626248809,0
202,ilrma-t-IP,3,10,3,0.634,1,0,1981297353,0,0,0,-6.981151171,-6.869903304,0,0,0
203,ilrma-t-IP,3,10,3,0.634,1,0,1981297353,50,1,2.567125967,-14.06383748,-2.63811769,-7.082686304,4.231785614,0.333333333
204,ilrma-t-iss-seq,3,10,3,0.634,1,0,1981297353,0,0,0,-6.981151171,-6.869903304,0,0,0
205,ilrma-t-iss-seq,3,10,3,0.634,1,0,1981297353,50,1,1.433400122,-14.13863305,-2.326226885,-7.157481874,4.543676419,0.333333333
206,ilrma-t-iss-joint,3,10,3,0.634,1,0,1981297353,0,0,0,-6.981151171,-6.869903304,0,0,0
207,ilrma-t-iss-joint,3,10,3,0.634,1,0,1981297353,50,1,2.360863208,-14.13863305,-2.326226885,-7.157481874,4.543676419,0.333333333
208,ilrma,3,10,3,0.634,1,0,1981297353,0,0,0,-6.981151171,-6.869903304,0,0,0
209,ilrma,3,10,3,0.634,1,0,1981297353,50,1,0.37557054,-14.02486186,-0.964015824,-7.04371069,5.90588748,0.333333333
210,auxiva,3,10,3,0.634,1,0,1712592594,0,0,0,-6.922164553,-6.8071131,0,0,0
211,auxiva,3,10,3,0.634,1,0,1712592594,50,1,0.185222435,-4.543290689,-1.901716262,2.378873864,4.905396838,0.333333333
212,ilrma-t-IP,3,10,3,0.634,1,0,1712592594,0,0,0,-6.922164553,-6.8071131,0,0,0
213,ilrma-t-IP,3,10,3,0.634,1,0,1712592594,50,1,2.585415012,-13.57248902,-2.108423731,-6.650324467,4.698689368,0.333333333
214,ilrma-t-iss-seq,3,10,3,0.634,1,0,1712592594,0,0,0,-6.922164553,-6.8071131,0,0,0
215,ilrma-t-iss-seq,3,10,3,0.634,1,0,1712592594,50,1,1.551726404,-13.61070546,-1.831192904,-6.688540904,4.975920195,0.333333333
